Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7
-0.0129925,0.0389518,0.0262101,-0.0770487,0.0334024,-0.0526493,-0.0119243
-0.0268268,0.0521505,-0.00662933,-0.115687,-0.00446008,-0.0511591,0.0161606
0.0322683,0.0940408,0.0141594,-0.0497441,0.00587034,-0.112597,-0.0075183
0.0406169,0.0359215,-0.0998385,-0.133935,-0.0575758,-0.0800374,0.0545076
0.0529183,0.0354074,0.0197151,-0.0557678,0.0282213,-0.0907283,-0.0414175
-0.00499091,0.0180582,-0.0280208,-0.098137,-0.00576084,-0.0684349,0.00977549
0.016659,0.070232,0.0144053,0.000517812,0.0233454,-0.080987,-0.021032
-0.0143445,0.0411081,0.0266589,-0.0799531,0.0325706,-0.0523627,-0.0113439
-0.0301805,0.0552962,-0.00645826,-0.119466,-0.00620591,-0.0516526,0.017193
0.0309162,0.0970574,0.0163232,-0.0546009,0.00522259,-0.113382,-0.00890907
0.0350205,0.0393197,-0.0998753,-0.137972,-0.0586033,-0.080892,0.055437
0.0531237,0.0372833,0.0219122,-0.0587083,0.0285872,-0.0904658,-0.0433421
-0.00805451,0.0202488,-0.0285582,-0.100809,-0.00693582,-0.0682771,0.0114468
0.0157329,0.0713563,0.0155814,-0.00208992,0.0230541,-0.0801105,-0.0216514
-0.0155298,0.0431371,0.0269974,-0.0825336,0.0318487,-0.0520766,-0.0107783
-0.0332719,0.0582852,-0.00636864,-0.122893,-0.00780863,-0.0521253,0.0181727
0.0298031,0.0999109,0.0183529,-0.0590861,0.00468506,-0.114121,-0.0102877
0.0297167,0.0425497,-0.0999979,-0.141638,-0.0594951,-0.0816993,0.0563507
0.0534881,0.0390348,0.0239563,-0.0613262,0.0290268,-0.0901866,-0.0452103
-0.0109437,0.0223074,-0.029193,-0.103159,-0.00798564,-0.068103,0.0131019
0.0149998,0.0723768,0.0166483,-0.00440678,0.0228535,-0.0792438,-0.0222791
-0.0165378,0.0450441,0.027229,-0.084815,0.0312241,-0.0517918,-0.0102274
-0.0360967,0.0611234,-0.00635811,-0.125995,-0.00928209,-0.0525782,0.0191021
0.028929,0.102607,0.020252,-0.0632248,0.00424478,-0.114817,-0.0116518
0.024705,0.0456181,-0.100202,-0.144959,-0.0602652,-0.0824615,0.0572484
0.0540124,0.040667,0.025854,-0.0636456,0.0295282,-0.0898924,-0.0470234
-0.0136539,0.0242394,-0.0299172,-0.105212,-0.00892369,-0.0679141,0.0147383
0.0144598,0.073298,0.0176124,-0.00645511,0.0227311,-0.0783874,-0.0229144
-0.0173694,0.0468338,0.0273609,-0.0868196,0.0306845,-0.0515083,-0.00969057
-0.0386608,0.0638161,-0.00642073,-0.128793,-0.0106396,-0.0530116,0.019984
0.028284,0.105153,0.0220271,-0.0670401,0.0038893,-0.11547,-0.0129994
0.0199759,0.0485308,-0.100481,-0.14796,-0.0609271,-0.0831807,0.0581303
0.0546889,0.0421848,0.0276145,-0.0656887,0.0300799,-0.0895842,-0.0487828
-0.0161891,0.02605,-0.0307209,-0.106988,-0.00976279,-0.0677114,0.0163535
0.014105,0.0741239,0.0184825,-0.00825534,0.022675,-0.0775411,-0.023556
-0.0180328,0.0485104,0.0274025,-0.0885681,0.0302182,-0.051226,-0.00916721
-0.040977,0.0663683,-0.00654856,-0.13131,-0.0118938,-0.0534259,0.0208209
0.0278525,0.107552,0.0236869,-0.0705532,0.00360674,-0.116083,-0.0143282
0.0155143,0.0512934,-0.100825,-0.150663,-0.0614937,-0.0838587,0.0589962
0.0555046,0.0435926,0.0292484,-0.0674759,0.0306711,-0.0892633,-0.0504893
-0.0185588,0.0277439,-0.0315928,-0.10851,-0.0105151,-0.0674963,0.0179459
0.0139225,0.0748584,0.0192682,-0.00982628,0.0226738,-0.0767049,-0.0242027
-0.0185409,0.0500779,0.0273641,-0.0900793,0.0298142,-0.0509448,-0.00865662
-0.0430624,0.0687846,-0.00673279,-0.133564,-0.0130569,-0.0538215,0.0216154
0.0276155,0.10981,0.0252408,-0.073784,0.00338591,-0.116657,-0.0156365
0.011302,0.053911,-0.101224,-0.153087,-0.0619771,-0.0844972,0.0598462
0.0564437,0.0448947,0.0307671,-0.0690261,0.0312919,-0.0889307,-0.0521441
-0.0207754,0.0293255,-0.0325214,-0.109796,-0.0111921,-0.0672696,0.0195138
0.0138966,0.0755052,0.0199793,-0.0111853,0.0227172,-0.0758791,-0.0248531
-0.018909,0.0515403,0.0272558,-0.091371,0.0294623,-0.0506647,-0.00815816
-0.0449359,0.0710697,-0.00696445,-0.135574,-0.0141397,-0.0541988,0.02237
0.0275522,0.111933,0.0266984,-0.0767509,0.00321657,-0.117192,-0.0169227
0.00731914,0.0563889,-0.10167,-0.155252,-0.0623883,-0.0850982,0.0606802
0.0574886,0.0460952,0.0321814,-0.070357,0.0319331,-0.0885874,-0.0537482
-0.0228529,0.0307993,-0.0334955,-0.110863,-0.011804,-0.0670327,0.0210557
0.0140102,0.0760677,0.0206253,-0.0123486,0.0227958,-0.0750636,-0.0255056
-0.0191537,0.0529014,0.0270878,-0.0924595,0.0291534,-0.0503858,-0.00767117
-0.0466175,0.0732281,-0.007235,-0.137356,-0.0151522,-0.0545585,0.0230869
0.0276416,0.113924,0.0280689,-0.0794711,0.00308977,-0.117692,-0.0181854
0.00354593,0.0587322,-0.102153,-0.157176,-0.0627369,-0.0856635,0.0614982
0.058622,0.0471982,0.0335018,-0.0714848,0.0325869,-0.0882346,-0.0553026
-0.0248058,0.0321695,-0.0345047,-0.111729,-0.0123596,-0.0667864,0.0225705
0.0142458,0.0765495,0.0212149,-0.0133313,0.0229018,-0.0742587,-0.0261589
-0.0192914,0.0541649,0.0268692,-0.09336,0.02888,-0.0501083,-0.00719507
-0.0481266,0.0752642,-0.00753654,-0.138926,-0.0161027,-0.0549012,0.0237684
0.0278634,0.115789,0.0293608,-0.081961,0.00299796,-0.118156,-0.0194235
-3.68673e-05,0.0609459,-0.102664,-0.158875,-0.0630313,-0.086195,0.0622999
0.0598271,0.0482077,0.0347379,-0.072425,0.0332472,-0.0878735,-0.0568082
-0.0266479,0.0334403,-0.0355398,-0.112408,-0.0128664,-0.0665321,0.0240572
0.0145869,0.0769541,0.021756,-0.0141473,0.0230286,-0.0734647,-0.0268116
-0.0193378,0.0553345,0.0266085,-0.094087,0.0286358,-0.0498325,-0.00672937
